method,seed,episodes,progress,opponent,mean_reward
NFSP,0,150000,0.15,CFR500,-0.6225038507212409
NFSP,0,150000,0.15,CFR1000,-0.5870756600078074
NFSP,0,150000,0.15,CFR2000,-0.5856833664983473
NFSP,0,200000,0.2,CFR100,-0.651367360902968
NFSP,0,200000,0.2,CFR500,-0.5838166630825581
NFSP,0,200000,0.2,CFR1000,-0.5516749481650258
NFSP,0,200000,0.2,CFR2000,-0.5511222419490577
NFSP,0,250000,0.25,CFR100,-0.5920921450914839
NFSP,0,250000,0.25,CFR500,-0.5413394978646247
NFSP,0,250000,0.25,CFR1000,-0.5117701663942111
NFSP,0,250000,0.25,CFR2000,-0.5121560246508756
NFSP,0,300000,0.3,CFR100,-0.542965975146134
NFSP,0,300000,0.3,CFR500,-0.49963766232498164
NFSP,0,300000,0.3,CFR1000,-0.4713118397802061
NFSP,0,300000,0.3,CFR2000,-0.4720512920675238
NFSP,0,350000,0.35,CFR100,-0.490386178670741
NFSP,0,350000,0.35,CFR500,-0.46040553424587627
NFSP,0,350000,0.35,CFR1000,-0.43613556567896306
NFSP,0,350000,0.35,CFR2000,-0.43726256420167253
NFSP,0,400000,0.4,CFR100,-0.44947354001291945
NFSP,0,400000,0.4,CFR500,-0.42522092751863383
NFSP,0,400000,0.4,CFR1000,-0.40344694217686833
NFSP,0,400000,0.4,CFR2000,-0.4044870479419501
NFSP,0,450000,0.45,CFR100,-0.41410438522305903
NFSP,0,450000,0.45,CFR500,-0.3935520135287498
NFSP,0,450000,0.45,CFR1000,-0.37408988149667755
NFSP,0,450000,0.45,CFR2000,-0.37439237243280465
NFSP,0,500000,0.5,CFR100,-0.3681467803795184
NFSP,0,500000,0.5,CFR500,-0.35694590998291714
NFSP,0,500000,0.5,CFR1000,-0.3410999210149789
NFSP,0,500000,0.5,CFR2000,-0.34152946662575234
NFSP,0,550000,0.55,CFR100,-0.3365524052755084
NFSP,0,550000,0.55,CFR500,-0.3287374635489701
NFSP,0,550000,0.55,CFR1000,-0.31501357813599523
NFSP,0,550000,0.55,CFR2000,-0.3147767475407501
NFSP,0,600000,0.6,CFR100,-0.30665877600803637
NFSP,0,600000,0.6,CFR500,-0.3069377267255347
NFSP,0,600000,0.6,CFR1000,-0.29553517377221517
NFSP,0,600000,0.6,CFR2000,-0.29530415582540226
NFSP,0,650000,0.65,CFR100,-0.29060620559995953
NFSP,0,650000,0.65,CFR500,-0.29419592081490853
NFSP,0,650000,0.65,CFR1000,-0.28365953967655205
NFSP,0,650000,0.65,CFR2000,-0.28291052697024344
NFSP,0,700000,0.7,CFR100,-0.2711042146826592
NFSP,0,700000,0.7,CFR500,-0.2800513808645858
NFSP,0,700000,0.7,CFR1000,-0.2717491117993041
NFSP,0,700000,0.7,CFR2000,-0.27032731341059635
NFSP,0,750000,0.75,CFR100,-0.2570941595377521
NFSP,0,750000,0.75,CFR500,-0.26946372101846766
NFSP,0,750000,0.75,CFR1000,-0.261834227600367
NFSP,0,750000,0.75,CFR2000,-0.2598780970803795
NFSP,0,800000,0.8,CFR100,-0.24113793711776615
NFSP,0,800000,0.8,CFR500,-0.2574982818717133
NFSP,0,800000,0.8,CFR1000,-0.2517319556699349
NFSP,0,800000,0.8,CFR2000,-0.24949550377155919
NFSP,0,850000,0.85,CFR100,-0.2334226117734184
NFSP,0,850000,0.85,CFR500,-0.24814628956755005
NFSP,0,850000,0.85,CFR1000,-0.24194963819081822
NFSP,0,850000,0.85,CFR2000,-0.23873565852687229
NFSP,0,900000,0.9,CFR100,-0.22386952813312913
NFSP,0,900000,0.9,CFR500,-0.24075997880515704
NFSP,0,900000,0.9,CFR1000,-0.23571228146174655
NFSP,0,900000,0.9,CFR2000,-0.2321624068477665
NFSP,0,950000,0.95,CFR100,-0.2164071500714613
NFSP,0,950000,0.95,CFR500,-0.2360085432162131
NFSP,0,950000,0.95,CFR1000,-0.23231129225394248
NFSP,0,950000,0.95,CFR2000,-0.22849398737605914
NFSP,0,1000000,1.0,CFR100,-0.20523176019425313
NFSP,0,1000000,1.0,CFR500,-0.22796542866984498
NFSP,0,1000000,1.0,CFR1000,-0.2252883534894024
NFSP,0,1000000,1.0,CFR2000,-0.22218373366463967
RMPG,0,50000,0.05,CFR100,-0.5542666520702284
RMPG,0,50000,0.05,CFR500,-0.48817062879004763
RMPG,0,50000,0.05,CFR1000,-0.4577883767901848
RMPG,0,50000,0.05,CFR2000,-0.44386922148206126
RMPG,0,100000,0.1,CFR100,-0.4149197442801732
RMPG,0,100000,0.1,CFR500,-0.3658352600005351
RMPG,0,100000,0.1,CFR1000,-0.3468164032434494
RMPG,0,100000,0.1,CFR2000,-0.3335480596900361
RMPG,0,150000,0.15,CFR100,-0.3470852765280097
RMPG,0,150000,0.15,CFR500,-0.3184989648701105
RMPG,0,150000,0.15,CFR1000,-0.3043924183115425
RMPG,0,150000,0.15,CFR2000,-0.29660611804148096
RMPG,0,200000,0.2,CFR100,-0.3233635395392092
RMPG,0,200000,0.2,CFR500,-0.3148311113024107
RMPG,0,200000,0.2,CFR1000,-0.297864440370752
RMPG,0,200000,0.2,CFR2000,-0.2887440152744082
RMPG,0,250000,0.25,CFR100,-0.35924742987982594
RMPG,0,250000,0.25,CFR500,-0.2797025270217131
RMPG,0,250000,0.25,CFR1000,-0.28729517131389926
RMPG,0,250000,0.25,CFR2000,-0.2817624398054791
RMPG,0,300000,0.3,CFR100,-0.31925968485023537
RMPG,0,300000,0.3,CFR500,-0.3195411077760123
RMPG,0,300000,0.3,CFR1000,-0.30812668115972963
RMPG,0,300000,0.3,CFR2000,-0.3004953398404322
RMPG,0,350000,0.35,CFR100,-0.2860486127492995
RMPG,0,350000,0.35,CFR500,-0.30248703494048446
RMPG,0,350000,0.35,CFR1000,-0.28630265453639053
RMPG,0,350000,0.35,CFR2000,-0.279891496348386
RMPG,0,400000,0.4,CFR100,-0.23219978067673902
RMPG,0,400000,0.4,CFR500,-0.2471678842073907
RMPG,0,400000,0.4,CFR1000,-0.2414312752416331
RMPG,0,400000,0.4,CFR2000,-0.23170375591467351
RMPG,0,450000,0.45,CFR100,-0.27575340915894986
RMPG,0,450000,0.45,CFR500,-0.27655473546768294
RMPG,0,450000,0.45,CFR1000,-0.2622026620827932
RMPG,0,450000,0.45,CFR2000,-0.2588849797820565
RMPG,0,500000,0.5,CFR100,-0.24827019186621777
RMPG,0,500000,0.5,CFR500,-0.25262333418030025
RMPG,0,500000,0.5,CFR1000,-0.24012923510332695
RMPG,0,500000,0.5,CFR2000,-0.2429539202498379
RMPG,0,550000,0.55,CFR100,-0.28033444729586565
RMPG,0,550000,0.55,CFR500,-0.3076820335313119
RMPG,0,550000,0.55,CFR1000,-0.3090412882701483
RMPG,0,550000,0.55,CFR2000,-0.3012495248455107
RMPG,0,600000,0.6,CFR100,-0.2706703905482579
RMPG,0,600000,0.6,CFR500,-0.24655002060773362
RMPG,0,600000,0.6,CFR1000,-0.22595326103953342
RMPG,0,600000,0.6,CFR2000,-0.2238762626623902
RMPG,0,650000,0.65,CFR100,-0.10286708258250847
RMPG,0,650000,0.65,CFR500,-0.12311051020607335
RMPG,0,650000,0.65,CFR1000,-0.12031805931716325
RMPG,0,650000,0.65,CFR2000,-0.1178951554645827
RMPG,0,700000,0.7,CFR100,-0.1329252975821491
RMPG,0,700000,0.7,CFR500,-0.16333300893218367
RMPG,0,700000,0.7,CFR1000,-0.1558347192563454
RMPG,0,700000,0.7,CFR2000,-0.15338676073788512
RMPG,0,750000,0.75,CFR100,-0.20791566069252926
RMPG,0,750000,0.75,CFR500,-0.2300478894096471
RMPG,0,750000,0.75,CFR1000,-0.2305988653382418
RMPG,0,750000,0.75,CFR2000,-0.23034742389796886
RMPG,0,800000,0.8,CFR100,-0.1808687176413043
RMPG,0,800000,0.8,CFR500,-0.19896704502521856
RMPG,0,800000,0.8,CFR1000,-0.191204556706337
RMPG,0,800000,0.8,CFR2000,-0.18730314698258596
RMPG,0,850000,0.85,CFR100,-0.17899596345402066
RMPG,0,850000,0.85,CFR500,-0.19980930920580095
RMPG,0,850000,0.85,CFR1000,-0.19308586710779507
RMPG,0,850000,0.85,CFR2000,-0.1878373912308566
RMPG,0,900000,0.9,CFR100,-0.15121882613030876
RMPG,0,900000,0.9,CFR500,-0.1520359973186879
RMPG,0,900000,0.9,CFR1000,-0.16236246060950643
RMPG,0,900000,0.9,CFR2000,-0.14524187037084374
RMPG,0,950000,0.95,CFR100,-0.17735729238100606
RMPG,0,950000,0.95,CFR500,-0.17275665177644367
RMPG,0,950000,0.95,CFR1000,-0.17489673486685814
RMPG,0,950000,0.95,CFR2000,-0.16480633016106072
RMPG,0,1000000,1.0,CFR100,-0.1809543929256734
RMPG,0,1000000,1.0,CFR500,-0.18708370483760028
RMPG,0,1000000,1.0,CFR1000,-0.18481914597730703
RMPG,0,1000000,1.0,CFR2000,-0.17022532842015178
PPO,0,19200,0.05,CFR100,-0.8179639595451722
PPO,0,19200,0.05,CFR500,-0.6444426105317101
PPO,0,19200,0.05,CFR1000,-0.587077246180613
PPO,0,19200,0.05,CFR2000,-0.580996659267508
PPO,0,38400,0.1,CFR100,-0.40543425971820957
PPO,0,38400,0.1,CFR500,-0.410528722410381
PPO,0,38400,0.1,CFR1000,-0.4099219118111892
PPO,0,38400,0.1,CFR2000,-0.402138529010326
PPO,0,57600,0.15,CFR100,-0.32684852925692753
PPO,0,57600,0.15,CFR500,-0.3224744403400495
PPO,0,57600,0.15,CFR1000,-0.3169997722944502
PPO,0,57600,0.15,CFR2000,-0.3174390227121774
PPO,0,76800,0.2,CFR100,-0.296322631710516
PPO,0,76800,0.2,CFR500,-0.29821772556769227
PPO,0,76800,0.2,CFR1000,-0.2974861965745222
PPO,0,76800,0.2,CFR2000,-0.29184761842752527
PPO,0,96000,0.25,CFR100,-0.2868453864575806
PPO,0,96000,0.25,CFR500,-0.29790397968417004
PPO,0,96000,0.25,CFR1000,-0.2934462012480497
PPO,0,96000,0.25,CFR2000,-0.2896075731363001
PPO,0,115200,0.3,CFR100,-0.249824523726205
PPO,0,115200,0.3,CFR500,-0.25646565834776147
PPO,0,115200,0.3,CFR1000,-0.2580251471144785
PPO,0,115200,0.3,CFR2000,-0.25415618824176545
PPO,0,134400,0.35,CFR100,-0.13993540714348157
PPO,0,134400,0.35,CFR500,-0.12659547961340983
PPO,0,134400,0.35,CFR1000,-0.12519245531521755
