method,seed,iteration,episodes,wall_clock_s,exploitability
PPO,0,1,128,0.8491220420692116,2.3317256982703576
PPO,0,16,2048,1.984733583056368,2.028594456935035
PPO,0,31,3968,3.1159123750403523,2.046262360921995
PPO,0,46,5888,4.231962333084084,2.0266938120812186
PPO,0,61,7808,5.3553946249885485,2.1478607189676056
PPO,0,76,9728,6.5017752080457285,2.245833744728051
PPO,0,91,11648,7.648374416981824,2.2676741728355267
PPO,0,106,13568,8.790884333080612,2.0657392151543323
PPO,0,121,15488,9.933210749994032,2.2091237710803013
PPO,0,136,17408,11.081613791990094,2.2098577112611513
PPO,0,151,19328,12.233327125082724,2.2873060069891045
PPO,0,166,21248,13.379200208000839,2.2295220204376385
PPO,0,181,23168,14.53010837500915,2.0169440660716194
PPO,0,196,25088,15.67792124999687,2.0394490696204994
PPO,0,211,27008,16.82523045805283,2.1210956385698987
PPO,0,226,28928,17.970743332989514,2.2141098665333687
PPO,0,241,30848,19.117119875038043,2.2213998641850137
PPO,0,256,32768,20.25967054197099,1.4570313594836883
PPO,0,271,34688,21.396029166993685,1.3552516446235972
PPO,0,286,36608,22.52484154200647,1.0688723607967354
PPO,0,301,38528,23.66113750007935,1.1816054118106054
PPO,0,316,40448,24.79577379208058,1.1374947190702822
PPO,0,331,42368,25.93140683299862,1.0447772804655102
PPO,0,346,44288,27.08156608301215,1.0821098225687789
PPO,0,361,46208,28.21740187506657,1.0481873272089022
PPO,0,376,48128,29.35772029205691,0.9990024794843451
PPO,0,391,50048,30.507869708002545,1.0591741841720912
PPO,0,406,51968,31.65063095802907,1.0481104712289562
PPO,0,421,53888,32.78995491703972,1.0736883624192852
PPO,0,436,55808,33.930611000047065,1.1010939165845217
PPO,0,451,57728,35.0689006249886,1.0970848158514823
PPO,0,466,59648,36.21181112504564,1.3431050502200685
PPO,0,481,61568,37.3696687920019,1.1298263939148845
PPO,0,496,63488,38.50960745802149,0.9969905040885028
PPO,0,511,65408,39.65289666701574,0.903301255758991
PPO,0,526,67328,40.79965612501837,0.8729078331554962
PPO,0,541,69248,41.94414787506685,0.9103275286574393
PPO,0,556,71168,43.091090000001714,0.781169525769406
PPO,0,571,73088,44.23654191708192,0.8894656473033064
PPO,0,586,75008,45.38290375005454,0.8881462085282021
PPO,0,601,76928,46.58579141704831,1.0473112951191053
PPO,0,616,78848,47.70694454200566,1.0471857717227704
PPO,0,631,80768,48.83628654200584,0.9552099483638639
PPO,0,646,82688,49.96907012502197,1.0511359846125923
PPO,0,661,84608,51.11185520805884,0.9890368394712681
