method,seed,x,unit,progress,wall_clock_s,nash_conv
NFSP,0,150000,episodes,0.75,550.554710916942,7.911656643664404
NFSP,0,160000,episodes,0.8,584.6144591249758,7.737476600805675
NFSP,0,170000,episodes,0.85,618.5501689169323,7.589480003570574
NFSP,0,180000,episodes,0.9,652.5771285839146,7.45523442326943
NFSP,0,190000,episodes,0.95,686.0328584589297,7.378451741609459
NFSP,0,200000,episodes,1.0,718.4559958339669,7.273100410632425
RMPG,0,0,episodes,0.0,0.0,11.590009910644604
RMPG,0,10000,episodes,0.05,52.95298587507568,7.48001501280824
RMPG,0,20000,episodes,0.1,81.25473225000314,7.1412722856040265
RMPG,0,30000,episodes,0.15,109.47763779107481,7.487244502820394
RMPG,0,40000,episodes,0.2,137.86190066603012,5.97322857659796
RMPG,0,50000,episodes,0.25,167.7256401660852,5.092806465062615
RMPG,0,60000,episodes,0.3,197.79719012510031,5.807190786099369
RMPG,0,70000,episodes,0.35,227.6635391660966,4.569721018245132
RMPG,0,80000,episodes,0.4,257.60811583301984,4.490372500699028
RMPG,0,90000,episodes,0.45,287.40920766605996,4.547471840865132
RMPG,0,100000,episodes,0.5,317.41378066607285,4.23630461402254
RMPG,0,110000,episodes,0.55,347.77180924999993,3.915513539797872
RMPG,0,120000,episodes,0.6,378.0731335830642,4.3853362460620735
RMPG,0,130000,episodes,0.65,408.37870800006203,3.52690542699626
RMPG,0,140000,episodes,0.7,438.7623951249989,3.7129331578524702
RMPG,0,150000,episodes,0.75,469.10503325005993,3.4123978794254413
RMPG,0,160000,episodes,0.8,499.6076350410003,3.1056376573391082
RMPG,0,170000,episodes,0.85,529.9805561660323,4.622760431515473
RMPG,0,180000,episodes,0.9,560.1971293750685,4.539344556493785
RMPG,0,190000,episodes,0.95,590.9547524160007,3.4572408670903236
RMPG,0,200000,episodes,1.0,621.6837149159983,3.8208366030664465
PPO,0,0,env steps,0.0,0.0,12.614667155909224
PPO,0,7552,env steps,0.05038428693424424,58.03753270790912,9.887727298448311
PPO,0,14976,env steps,0.09991460290350128,88.43136208294891,8.50913444135156
PPO,0,22528,env steps,0.1502988898377455,118.80366266693454,4.580706198796762
PPO,0,29952,env steps,0.19982920580700256,149.31167808291502,2.974928940296292
PPO,0,37504,env steps,0.2502134927412468,179.94099845795427,3.4738537181733076
PPO,0,44928,env steps,0.2997438087105038,210.48416587489191,3.0448124620474646
PPO,0,52480,env steps,0.35012809564474806,241.04739187494852,3.9943824297233794
PPO,0,59904,env steps,0.3996584116140051,271.5180682078935,4.461294855725821
PPO,0,67456,env steps,0.45004269854824935,302.26931179198436,3.2065673618579407
PPO,0,75008,env steps,0.5004269854824936,333.18910624994896,4.272950732677229
PPO,0,82432,env steps,0.5499573014517506,364.04075962491333,3.7788053813948372
PPO,0,89984,env steps,0.6003415883859948,394.8586362499045,6.111353707296084
PPO,0,97408,env steps,0.6498719043552519,425.55239887489006,3.7697423411783872
PPO,0,104960,env steps,0.7002561912894961,456.39836166694295,4.533347626846252
PPO,0,112384,env steps,0.7497865072587532,487.38579016691074,5.1346215173572185
PPO,0,119936,env steps,0.8001707941929974,518.4211227919441,5.593007184502644
PPO,0,127360,env steps,0.8497011101622545,549.6338460829575,5.574039422309799
PPO,0,134912,env steps,0.9000853970964987,580.5806049579987,4.606192943094373
PPO,0,142336,env steps,0.9496157130657558,611.5321440419648,3.7936464955762856
PPO,0,149888,env steps,1.0,642.3874697079882,4.468942616286665
