,CFR+,CFR,DeepCFR,NFSP,RMPG,PPO,Uniform
CFR+,0.0,0.0021564294475079626,0.07878152040552244,0.2195487785564107,0.1159780704602381,0.32624228646097053,0.7071517891815304
CFR,-0.0021564294475079626,0.0,0.08020463238317983,0.23572829674198167,0.12417640835779367,0.3355927114208867,0.7031546498675707
DeepCFR,-0.07878152040552244,-0.08020463238317983,0.0,0.21801694530891835,0.06159070141230916,0.32836757433473757,0.8590462518729651
NFSP,-0.2195487785564107,-0.23572829674198167,-0.21801694530891835,0.0,-0.08583254065894472,0.35347804352256507,1.1608846545183504
RMPG,-0.1159780704602381,-0.12417640835779367,-0.06159070141230916,0.08583254065894472,0.0,0.2882552502248991,0.5841892229225826
PPO,-0.32624228646097053,-0.3355927114208867,-0.32836757433473757,-0.35347804352256507,-0.2882552502248991,0.0,0.5812158759856774
Uniform,-0.7071517891815304,-0.7031546498675707,-0.8590462518729651,-1.1608846545183504,-0.5841892229225826,-0.5812158759856774,0.0
