method,seed,iteration,episodes,wall_clock_s,exploitability
NFSP,0,520000,520000,274.5092405419564,1.0018395
NFSP,0,525000,525000,277.3929148329189,1.0005549
NFSP,0,530000,530000,280.27367749996483,0.98223126
NFSP,0,535000,535000,283.1763964169659,0.99567574
NFSP,0,540000,540000,286.08046208298765,0.9904944
NFSP,0,545000,545000,288.9850534579018,0.98414326
NFSP,0,550000,550000,291.92403870797716,0.9837946
NFSP,0,555000,555000,294.8692671669414,0.97003126
NFSP,0,560000,560000,297.7942930419231,0.96264386
NFSP,0,565000,565000,300.7373847499257,0.9635108
NFSP,0,570000,570000,303.70045595790725,0.9527197
NFSP,0,575000,575000,306.69209012493957,0.9462801
NFSP,0,580000,580000,309.66361162497196,0.95114934
NFSP,0,585000,585000,312.630774582969,0.9384835
NFSP,0,590000,590000,315.6020623749355,0.92647636
NFSP,0,595000,595000,318.6010532079963,0.9500762
NFSP,0,600000,600000,321.5770247919718,0.9205868
NFSP,0,605000,605000,324.57063254190143,0.92187035
NFSP,0,610000,610000,327.5424677080009,0.90908706
NFSP,0,615000,615000,330.5293708749814,0.9153541
NFSP,0,620000,620000,333.53294062498026,0.9193269
NFSP,0,625000,625000,336.54207650001626,0.91551423
NFSP,0,630000,630000,339.5496893749805,0.91615593
NFSP,0,635000,635000,342.5722675420111,0.90762705
NFSP,0,640000,640000,345.6216978749726,0.9053072
NFSP,0,645000,645000,348.6754149169428,0.8920092
NFSP,0,650000,650000,351.70736420794856,0.8906308
NFSP,0,655000,655000,354.75756399997044,0.89997023
NFSP,0,660000,660000,357.8362529169535,0.89415604
NFSP,0,665000,665000,360.91075879195705,0.90731496
NFSP,0,670000,670000,364.00181687495206,0.8882792
NFSP,0,675000,675000,367.0894846249139,0.8937831
NFSP,0,680000,680000,370.16031212499365,0.9066095
NFSP,0,685000,685000,373.279407416936,0.87718
NFSP,0,690000,690000,376.39776387496386,0.8825011
NFSP,0,695000,695000,379.4824581670109,0.892998
NFSP,0,700000,700000,382.58867216692306,0.8920747
NFSP,0,705000,705000,385.7108003749745,0.88809764
NFSP,0,710000,710000,388.8305516249966,0.8825193
NFSP,0,715000,715000,391.9833757500164,0.9015573
NFSP,0,720000,720000,395.0981648749439,0.90228784
NFSP,0,725000,725000,398.23243045795243,0.8956604
NFSP,0,730000,730000,401.37713629193604,0.90277565
NFSP,0,735000,735000,404.5267575829057,0.89988667
NFSP,0,740000,740000,407.6558330419939,0.889562
NFSP,0,745000,745000,410.8004150829511,0.89711154
NFSP,0,750000,750000,413.96711120801046,0.94252723
NFSP,0,755000,755000,417.15653045801446,0.87292075
NFSP,0,760000,760000,420.33997804194223,0.9173506
NFSP,0,765000,765000,423.5014817919582,0.9160094
NFSP,0,770000,770000,426.68436583294533,0.8954156
NFSP,0,775000,775000,429.836944791954,0.8879208
NFSP,0,780000,780000,433.020846374915,0.89002544
NFSP,0,785000,785000,436.1949742499273,0.8760079
NFSP,0,790000,790000,439.42606920795515,0.86605656
NFSP,0,795000,795000,442.62178016698454,0.8871172
NFSP,0,800000,800000,445.8080459999619,0.89163077
NFSP,0,805000,805000,448.98129758297,0.88377213
NFSP,0,810000,810000,452.1548393749399,0.85696614
NFSP,0,815000,815000,455.3525258329464,0.8705756
NFSP,0,820000,820000,458.573535042,0.87085825
NFSP,0,825000,825000,461.7717679999769,0.87616634
NFSP,0,830000,830000,465.01117637497373,0.8673841
NFSP,0,835000,835000,468.24256799998693,0.85790247
NFSP,0,840000,840000,471.443100332981,0.83477724
NFSP,0,845000,845000,474.6611807079753,0.83985937
NFSP,0,850000,850000,477.8940485420171,0.83824235
NFSP,0,855000,855000,481.1283488749759,0.83664834
NFSP,0,860000,860000,484.39313308300916,0.8258105
NFSP,0,865000,865000,487.6441353330156,0.83948886
NFSP,0,870000,870000,490.9029988750117,0.80950284
NFSP,0,875000,875000,494.1830967499409,0.8337585
NFSP,0,880000,880000,497.4536198329879,0.8071345
NFSP,0,885000,885000,500.72561295796186,0.82400006
NFSP,0,890000,890000,504.0168077920098,0.8214607
NFSP,0,895000,895000,507.28616949997377,0.8148002
NFSP,0,900000,900000,510.57114241691306,0.79760563
NFSP,0,905000,905000,513.853771291906,0.8168962
NFSP,0,910000,910000,517.1418204169022,0.7840707
NFSP,0,915000,915000,520.4283080829773,0.7792444
NFSP,0,920000,920000,523.7449130419409,0.80470175
NFSP,0,925000,925000,527.0678634999786,0.81358707
NFSP,0,930000,930000,530.3852836670121,0.7736858
NFSP,0,935000,935000,533.7201955829514,0.78932583
NFSP,0,940000,940000,537.0444647079566,0.79865074
NFSP,0,945000,945000,540.3953607080039,0.7957543
NFSP,0,950000,950000,543.759770207922,0.768636
NFSP,0,955000,955000,547.294073499972,0.7726732
NFSP,0,960000,960000,550.8171615420142,0.7813072
NFSP,0,965000,965000,554.3669717079028,0.7743927
NFSP,0,970000,970000,557.9191284580156,0.73699594
NFSP,0,975000,975000,561.4596809999784,0.7813133
NFSP,0,980000,980000,565.0206095419126,0.78363055
NFSP,0,985000,985000,568.5565505420091,0.7644723
NFSP,0,990000,990000,572.1527470420115,0.75540805
NFSP,0,995000,995000,575.7199014169164,0.7378056
NFSP,0,1000000,1000000,579.3205986669054,0.75118095
