method,seed,iteration,episodes,wall_clock_s,exploitability
CFR,0,1,,0.14719641697593033,2.373611111111111
CFR,0,25,,1.2494758339598775,0.3974605121585193
CFR,0,50,,2.3528962089912966,0.1890834659549564
CFR,0,75,,3.4674737920286134,0.12136796657483918
CFR,0,100,,4.612932333955541,0.09571635300459762
CFR,0,125,,5.748393625020981,0.07639850691028223
CFR,0,150,,6.897620708914474,0.06265887163593944
CFR,0,175,,8.089490166981705,0.06079883539352525
CFR,0,200,,9.269343124935403,0.05383832390281963
CFR,0,225,,10.372964791953564,0.047436401806218775
CFR,0,250,,11.484026291989721,0.04046900108716073
CFR,0,275,,12.573112541926093,0.03895132056912576
CFR,0,300,,13.67542645893991,0.03552411624092963
CFR,0,325,,14.792307208990678,0.03240105173368826
CFR,0,350,,15.887493791989982,0.03059437204305626
CFR,0,375,,17.030144541990012,0.027062347950160104
CFR,0,400,,18.128885417012498,0.026435794555074707
CFR,0,425,,19.200666583958082,0.025146180725416828
CFR,0,450,,20.27916487492621,0.024719590768750077
CFR,0,475,,21.352649583946913,0.023414674109674655
CFR,0,500,,22.432479374925606,0.02150720912667381
CFR,0,525,,23.490902959019877,0.020683102922016194
CFR,0,550,,24.561425624997355,0.020625102988518856
CFR,0,575,,25.620530750020407,0.019625712878116403
CFR,0,600,,26.704487958922982,0.019775556872029115
CFR,0,625,,27.796810542000458,0.01785532637714124
CFR,0,650,,28.907561584026553,0.01754429446670224
CFR,0,675,,29.94670362502802,0.017500972299279147
CFR,0,700,,31.041843625018373,0.01631934719984146
CFR,0,725,,32.08751058392227,0.015220273555340169
CFR,0,750,,33.149177166982554,0.015051129053798962
CFR,0,775,,34.21917495899834,0.015641358954126133
CFR,0,800,,35.31233045901172,0.014361516669849111
CFR,0,825,,36.42826958396472,0.016169652879764157
CFR,0,850,,37.540693458984606,0.013812656372634617
CFR,0,875,,38.652489791973494,0.014898113566426674
CFR,0,900,,39.758699125028215,0.014059739279916106
CFR,0,925,,40.86621050001122,0.01333187257455154
CFR,0,950,,41.97557591693476,0.01303664846066016
CFR,0,975,,43.08517350000329,0.011975325908216039
CFR,0,1000,,44.21095362491906,0.011817810259786288
CFR,0,1025,,45.32784808392171,0.012183154988914202
CFR,0,1050,,46.46869504195638,0.011825037340937483
CFR,0,1075,,47.66893954202533,0.010906251820700562
CFR,0,1100,,48.802599958959036,0.011552393515205261
CFR,0,1125,,49.92949758400209,0.011492963228043815
CFR,0,1150,,51.0394601249136,0.010996816672432658
CFR,0,1175,,52.13870758400299,0.010646242553255261
CFR,0,1200,,53.2176786250202,0.009915780739891342
CFR,0,1225,,54.309392958995886,0.009509079596400509
CFR,0,1250,,55.43113183393143,0.009725313956484072
CFR,0,1275,,56.546897166990675,0.00968991701110427
CFR,0,1300,,57.65430512500461,0.009779836609999981
CFR,0,1325,,58.77924850001,0.010529901301246258
CFR,0,1350,,59.90896966692526,0.009417661854753956
CFR,0,1375,,61.02887691697106,0.008897482084699718
CFR,0,1400,,62.17667337495368,0.008862100587670743
CFR,0,1425,,63.28489516698755,0.00951437929664671
CFR,0,1450,,64.35235558392014,0.00941343586705741
CFR,0,1475,,65.48531129199546,0.008993129339430223
CFR,0,1500,,66.56049295898993,0.008569104290605034
CFR,0,1525,,67.60625645902473,0.008951055514076336
CFR,0,1550,,68.64924716693349,0.007410835700965124
CFR,0,1575,,69.74496291694231,0.009050749497833466
CFR,0,1600,,70.838622167008,0.00802873255301606
CFR,0,1625,,71.91256720898673,0.007492441113953793
CFR,0,1650,,73.07603991695214,0.0077579000396061915
CFR,0,1675,,74.17539654194843,0.007632404860647868
CFR,0,1700,,75.27019362500869,0.008250952527109681
CFR,0,1725,,76.36774749995675,0.00760630256682393
CFR,0,1750,,77.44600016693585,0.007665006682712416
CFR,0,1775,,78.52873458398972,0.00797163268163141
CFR,0,1800,,79.6215384999523,0.00758527269033063
CFR,0,1825,,80.74117375002243,0.007898453639008263
CFR,0,1850,,81.84799833397847,0.0073741338883047125
CFR,0,1875,,82.96125070902053,0.008084865362247048
CFR,0,1900,,84.08105749997776,0.007527253532401149
CFR,0,1925,,85.17176637495868,0.00697403896331289
CFR,0,1950,,86.27190116699785,0.0072223446649999495
CFR,0,1975,,87.36605237494223,0.006879968524089813
CFR,0,2000,,88.49047295900527,0.006848588916689394
CFR+,0,1,,0.11756020807661116,2.373611111111111
CFR+,0,25,,1.2824827079894021,0.11935086897251256
CFR+,0,50,,2.52251308306586,0.03412145649454931
CFR+,0,75,,3.7617309580091387,0.021345359588892165
CFR+,0,100,,4.995781291974708,0.013415994970897835
CFR+,0,125,,6.307221750030294,0.010314710258074747
CFR+,0,150,,7.556103124981746,0.007440587105990909
CFR+,0,175,,8.80343550001271,0.005689957941459559
CFR+,0,200,,10.056308791972697,0.0049631295504932865
CFR+,0,225,,11.288264625007287,0.0037161757486000174
CFR+,0,250,,12.523700791993178,0.0031249432365077906
CFR+,0,275,,13.766293417080306,0.0027642341870460774
CFR+,0,300,,15.016005499986932,0.002290304830135509
CFR+,0,325,,16.25648516707588,0.001958493447364429
CFR+,0,350,,17.489860708010383,0.001566123185069608
CFR+,0,375,,18.720991583075374,0.0014567068566002789
CFR+,0,400,,19.951555332983844,0.0012326702802897271
CFR+,0,425,,21.182142124976963,0.00117775988017442
CFR+,0,450,,22.413398583070375,0.0010337719221482633
CFR+,0,475,,23.646048875059932,0.0009186792670797805
CFR+,0,500,,24.881680582999252,0.0009386353638511508
CFR+,0,525,,26.11304754205048,0.0007549750766214502
CFR+,0,550,,27.3477464170428,0.0007664002399864339
CFR+,0,575,,28.579951417050324,0.000649162208878909
CFR+,0,600,,29.817385583068244,0.0006392397909913139
CFR+,0,625,,31.050343416980468,0.0005699178398111543
CFR+,0,650,,32.2867608750239,0.0005542213686078809
CFR+,0,675,,33.52011433301959,0.0005066265696925254
CFR+,0,700,,34.81243350007571,0.00046417892039632425
CFR+,0,725,,36.05453833297361,0.0004845391817169184
CFR+,0,750,,37.30037995800376,0.0004521457383182964
CFR+,0,775,,38.54259058297612,0.0003856817981430227
CFR+,0,800,,39.78696637507528,0.0003690247492279808
CFR+,0,825,,41.022501999977976,0.00034843854937011143
CFR+,0,850,,42.26280475000385,0.00031686839652866894
CFR+,0,875,,43.49651662504766,0.0002938417645306918
CFR+,0,900,,44.730707542039454,0.0002839395153547697
CFR+,0,925,,45.96405499998946,0.00028865872926778224
CFR+,0,950,,47.20227916701697,0.00028065967345430876
CFR+,0,975,,48.432419792050496,0.00030798170373770584
CFR+,0,1000,,49.66962191706989,0.0002571516161564563
CFR+,0,1025,,50.90757608297281,0.00027179130244492367
CFR+,0,1050,,52.14779220800847,0.00023994515019071239
CFR+,0,1075,,53.38466441701166,0.0002399191977859247
CFR+,0,1100,,54.61606250004843,0.00022236296072597472
CFR+,0,1125,,55.85521258297376,0.0001804111927686397
CFR+,0,1150,,57.09713495802134,0.0001995757620947905
CFR+,0,1175,,58.33790554199368,0.00020549948598685974
CFR+,0,1200,,59.575307375052944,0.00018667609577256716
CFR+,0,1225,,60.81729420798365,0.00020012246678245693
CFR+,0,1250,,62.06171775003895,0.0001953557000301115
CFR+,0,1275,,63.29953158297576,0.00016795459500247578
CFR+,0,1300,,64.53779945801944,0.00016570303552937427
CFR+,0,1325,,65.7722938330844,0.00016445436289919124
CFR+,0,1350,,67.072500417009,0.00014067020890673465
CFR+,0,1375,,68.31583454203792,0.000132573870531838
CFR+,0,1400,,69.54224650003016,0.00016015150962324365
CFR+,0,1425,,70.76993520802353,0.00013222382778800557
CFR+,0,1450,,71.99715366703458,0.0001534097787149885
CFR+,0,1475,,73.23379654204473,0.00014531331014280835
CFR+,0,1500,,74.47367583308369,0.00012900661803078028
CFR+,0,1525,,75.70948337507434,0.00014193992741848294
CFR+,0,1550,,76.94382020807825,0.0001295129974591691
CFR+,0,1575,,78.18404783308506,0.00011052422186952349
CFR+,0,1600,,79.42452812497504,0.00011447216850585251
CFR+,0,1625,,80.66022262501065,0.00012679055023175068
CFR+,0,1650,,81.8943735830253,0.00010973645506585916
CFR+,0,1675,,83.12959150003735,0.00011178221459012816
CFR+,0,1700,,84.3723303329898,0.00010967043020079781
CFR+,0,1725,,85.61377295805141,0.00010949297534328106
CFR+,0,1750,,86.85126274998765,0.00011115557464094761
CFR+,0,1775,,88.08888175000902,0.0001016669458869246
CFR+,0,1800,,89.33138508303091,9.349310683753886e-05
CFR+,0,1825,,90.57829316705465,9.279299279391084e-05
CFR+,0,1850,,91.8805389580084,7.946453470333847e-05
CFR+,0,1875,,93.10964254208375,8.988121936893967e-05
CFR+,0,1900,,94.34364270803053,8.38957132475171e-05
CFR+,0,1925,,95.57621166703757,8.238920350646384e-05
CFR+,0,1950,,96.80841850000434,9.262977863122579e-05
CFR+,0,1975,,98.03997662500478,8.506644480972547e-05
CFR+,0,2000,,99.2718510000268,8.497776239096977e-05
