,aggression,fold_facing_bet,bluff_J,value_K,fold_K
CFR+,0.23048478731250438,0.5269694904342401,0.07249966511629209,0.7527035601513595,0.31182802111417207
DeepCFR,0.18900389150606273,0.47447217400032043,0.17355140071549835,0.4826529026031494,0.20167250831830902
NFSP,0.2986839509073597,0.34289659379805343,0.07831433415412903,0.49661435186862946,0.11393617752205151
RMPG,0.17554020898550582,0.6256718115611679,0.009281708723477451,0.7032990123535228,0.4251173803502112
PPO,0.30508299684598345,0.4201607043166087,0.16219176032669486,0.9286610639112511,0.0029428923912074526
